S.No.,"Particle mean size
  d50 (mm)","Pile Diameter
 D (m)","Time Period of wave
 T (s)","Height of wave
    H(m)","Current Velocity
    Uc(m/s)","Maximum wave 
orbital velocity 
 Uwm (m/s)","Maximum shear velocity
 Ufm (m/s)","Maximum value of 
combined waves and current velocity
         Um(m/s)","Velocity Ratio
         Ucw","Keulegan–Carpenter 
              number
                   KC","Pile Reynolds                  number
           Re","Froude 
number
       Fr","Shield number
            ᶿ",S/D,Reference ,
1,0.18,0.05,1.19,0.16,0,0.21,0.033,0.21,0,4.9,10000,0.2970,0.37,0,"SCOUR AROUND VERTICAL PILE IN WAVES 
By B. Mutlu Sumer, j0rgen Freds0e, and Niels Christiansen (1992)",
19,0.18,0.02,2.33,0.16,0,0.19,0.018,0.19,0,22.4,3900,0.4357,0.11,0.43,,
20,0.18,0.02,2.94,0.16,0,0.22,0.018,0.22,0,32.3,4400,0.5012,0.11,0.58,,
21,0.18,0.03,3.57,0.16,0,0.27,0.019,0.27,0,32.3,8000,0.4940,0.12,0.42,,
22,0.18,0.03,2.70,0.16,0,0.38,0.024,0.38,0,34,11000,0.6968,0.2,0.67,,
23,0.18,0.02,2.70,0.16,0,0.38,0.024,0.38,0,51,7600,0.8534,0.2,0.8,,
24,0.18,0.01,2.70,0.16,0,0.38,0.024,0.38,0,102,3800,1.2069,0.2,1.1,,
25,0.58,0.05,1.22,0.16,0,0.22,0.023,0.22,0,5.4,11000,0.3198,0.05,0,,
26,0.58,0.05,1.37,0.16,0,0.23,0.022,0.23,0,6.4,12000,0.3327,0.05,0,,
27,0.58,0.05,1.82,0.16,0,0.20,0.019,0.20,0,7.2,10000,0.2841,0.04,0,,
28,0.58,0.03,1.22,0.16,0,0.22,0.023,0.22,0,9.1,70000,0.4129,0.05,0.05,,
29,0.58,0.03,1.37,0.16,0,0.23,0.022,0.23,0,10.6,70000,0.4295,0.05,0.04,,
30,0.58,0.03,1.82,0.16,0,0.20,0.019,0.20,0,12.1,60000,0.3668,0.04,0.12,,
31,0.58,0.05,2.70,0.16,0,0.24,0.019,0.24,0,12.9,12000,0.3384,0.04,0.18,,
32,0.58,0.05,2.00,0.16,0,0.34,0.024,0.34,0,13.6,17000,0.4840,0.06,0.2,,
33,0.58,0.02,1.82,0.16,0,0.20,0.019,0.20,0,18.1,4000,0.4493,0.04,0.5,,
34,0.58,0.03,2.70,0.16,0,0.24,0.019,0.24,0,21.4,7100,0.4369,0.04,0.57,,
35,0.58,0.02,2.33,0.16,0,0.19,0.018,0.19,0,22.4,3900,0.4357,0.04,0.72,,
36,0.58,0.03,2.00,0.16,0,0.34,0.024,0.34,0,22.6,10000,0.6249,0.06,0.52,,
37,0.58,0.02,2.70,0.16,0,0.24,0.019,0.24,0,32.1,4700,0.5351,0.04,0.54,,
38,0.18,0.1,1.89,0.16,0,0.23,0.02,0.23,0,4.4,23000,0.2332,0.14,0,,
39,0.18,0.2,4.55,0.16,0,0.30,0.018,0.30,0,6.7,60000,0.2149,0.11,0.032,,
40,0.18,0.2,4.55,0.16,0,0.33,0.019,0.33,0,7.3,65000,0.2327,0.13,0.055,,
41,0.18,0.1,3.03,0.16,0,0.25,0.018,0.25,0,7.6,25000,0.2544,0.11,0.12,,
42,0.18,0.2,4.55,0.16,0,0.39,0.02,0.39,0,8.8,78000,0.2791,0.14,0.057,,
43,0.18,0.2,4.55,0.16,0,0.47,0.023,0.47,0,10.5,94000,0.3348,0.19,0.085,,
44,0.18,0.2,4.55,0.16,0,0.53,0.025,0.53,0,12,110000,0.3805,0.22,0.11,,
45,0.18,0.1,4.55,0.16,0,0.30,0.018,0.30,0,13.4,30000,0.3039,0.11,0.15,,
46,0.18,0.1,4.55,0.16,0,0.33,0.019,0.33,0,14.6,33000,0.3291,0.13,0.22,,
47,0.18,0.1,4.55,0.16,0,0.39,0.02,0.39,0,17.6,39000,0.3948,0.14,0.25,,
48,0.18,0.1,4.55,0.16,0,0.47,0.023,0.47,0,21,47000,0.4735,0.19,0.24,,
49,0.18,0.1,4.55,0.16,0,0.53,0.025,0.53,0,24,53000,0.5381,0.22,0.31,,
50,0.36,0.11,303.03,0.16,0,0.47,0.024,0.47,0,1285,52000,0.4534,0.1,0.92,,
51,0.36,0.05,303.03,0.16,0,0.47,0.024,0.47,0,2826,24000,0.6725,0.1,1.56,,
52,0.36,0.05,588.24,0.16,0,0.47,0.024,0.47,0,5626,24000,0.6725,0.1,1.2,,
53,0.36,0.05,infinity,0.16,0,0.47,0.025,0.47,0,infinity,24000,0.6725,0.1,1.3,,
54,0.38,0.2,1.4,0.00,0.15,0,0.0070,0.15,1,0,22100,0.107,0.008,0,"Physical modeling of local scour developent around a large-diameter monopile in combined waves and current 
Wen-GangQi, Fu-Ping Gao (2014)",
55,0.38,0.2,1.4,0.04,0.15,0.068,0.0148,0.218,0.69,0.48,32100,0.138,0.036,0.025,,
56,0.38,0.2,1.4,0.10,0.15,0.137,0.0213,0.287,0.52,0.96,42200,0.169,0.075,0.075,,
57,0.38,0.2,1.4,0.15,0.15,0.201,0.0276,0.351,0.43,1.41,51600,0.199,0.125,0.11,,
58,0.38,0.2,1.4,0.00,0.23,0,0.0110,0.23,1,0,33800,0.164,0.02,0.2,,
59,0.38,0.2,1.4,0.03,0.23,0.063,0.0148,0.293,0.78,0.44,43100,0.193,0.036,0.27,,
60,0.38,0.2,1.4,0.05,0.23,0.107,0.0181,0.337,0.68,0.75,49600,0.213,0.054,0.34,,
61,0.38,0.2,1.4,0.09,0.23,0.156,0.0218,0.386,0.6,1.09,56800,0.235,0.078,0.44,,
62,0.38,0.08,1.4,0.00,0.23,0,0.0113,0.23,1,0,13500,0.26,0.021,0.39,,
63,0.38,0.08,1.4,0.03,0.23,0.073,0.0165,0.303,0.76,1.28,17800,0.312,0.045,0.65,,
64,0.38,0.08,1.4,0.07,0.23,0.126,0.0206,0.356,0.65,2.21,20900,0.35,0.07,0.84,,
65,0.38,0.08,1.4,0.10,0.23,0.173,0.0251,0.403,0.57,3.03,23700,0.384,0.104,1,,
66,0.38,0.08,1.4,0.00,0.34,0,0.0173,0.34,1,0,20000,0.384,0.049,1.15,,
67,0.38,0.08,1.4,0.10,0.34,0.157,0.0275,0.497,0.68,2.75,29200,0.497,0.124,1.26,,
68,0.38,0.2,1.4,0.00,0.34,0,0.0173,0.34,1,0,50000,0.243,0.049,0.62,,
69,0.38,0.2,1.4,0.06,0.34,0.104,0.0213,0.444,0.77,0.73,65300,0.29,0.075,0.67,,
70,0.38,0.2,1.4,0.09,0.34,0.14,0.0251,0.48,0.71,0.98,70600,0.307,0.104,0.65,,
71,0.38,0.08,1.8,0.11,0.2,0.117,0.0200,0.317,0.63,2.63,18600,0.31,0.066,0.73,,
